Episode,Station_Reward,Car_Reward,Station_Reward_Smooth,Car_Reward_Smooth
0,-0.3713997150019151,-0.40254693226065663,-0.3713997150019151,-0.40254693226065663
1,-0.35135037776747785,-0.38462158446226385,-0.3613750463846965,-0.39358425836146027
2,-0.33556309360595016,-0.3758597363921349,-0.3527710621251144,-0.3876760843716851
3,-0.3342695416654681,-0.3684048575605795,-0.3481456820102028,-0.38285827766890873
4,-0.32338533410601317,-0.3618357764067754,-0.34319361242936486,-0.37865377741648204
5,-0.31734731698417545,-0.35973550779743124,-0.3388858965218333,-0.37550073247997356
6,-0.31539658585318114,-0.3521933336405177,-0.33553028071202584,-0.372171104074337
7,-0.30839373356177857,-0.3482883659169512,-0.3321382123182449,-0.3691857618046638
8,-0.3036897236988766,-0.34785812742400396,-0.3289772691383151,-0.3668160246512572
9,-0.29826222332700053,-0.3399879595836951,-0.3259057645571837,-0.36413321814450095
10,-0.2953395223727766,-0.33946404276684305,-0.3231270152676921,-0.3618905658374411
11,-0.2907894240534407,-0.3441847877581491,-0.32043221599983784,-0.3604150843308334
12,-0.2778400604724385,-0.33462848977487136,-0.317155896343884,-0.358431500134221
13,-0.2819258217380861,-0.3323049642056506,-0.3146394624434699,-0.356565318996466
14,-0.2863857387995313,-0.32271266347813377,-0.31275588086720735,-0.35430847529524384
15,-0.281981872993024,-0.32821748738533385,-0.31083250537507084,-0.35267778855087445
16,-0.27164750783574504,-0.3273092166559286,-0.30852750551981645,-0.35118551961587763
17,-0.2659700320316564,-0.32097058991487043,-0.3061632014371408,-0.3495069124102661
18,-0.2716436542308597,-0.31973279012929756,-0.30434638316312607,-0.3479398533428467
19,-0.2651148290644744,-0.3197580183415219,-0.30238480545819346,-0.3465307615927805
20,-0.27347769293340063,-0.3143946665947325,-0.3010082762903462,-0.3450004713547782
21,-0.26598083240269316,-0.31286704056435927,-0.2994161197499983,-0.3435398608643046
22,-0.2561913596110145,-0.31252369059361795,-0.2975367823526512,-0.34219133172210087
23,-0.26455748930500456,-0.30871825960184185,-0.2961626451423326,-0.3407966203837567
24,-0.2534152908758497,-0.304250868723562,-0.2944527509716733,-0.3393347903173489
25,-0.25709545439287734,-0.3033995858358896,-0.2930159318724888,-0.33795266706806204
26,-0.24866991499836127,-0.30401382998716,-0.2913734868030767,-0.3366956731021027
27,-0.24382135438697988,-0.3025809025617801,-0.2896751963596446,-0.33547728843994834
28,-0.2462752757775674,-0.2996667498657813,-0.2881786473740558,-0.3342424422822184
29,-0.23857829335836783,-0.2994113320545978,-0.2865253022401995,-0.33308140527463104
30,-0.25146455829968595,-0.2977872888722383,-0.28539431050018294,-0.3319428853906829
31,-0.23917705794439845,-0.29637741015828023,-0.28395002135781466,-0.3308314642896703
32,-0.23492087511294332,-0.2948116734828711,-0.2824642896534247,-0.3297399554773431
33,-0.2268505844714718,-0.2900498714192993,-0.2808285924421907,-0.32857260006387123
