Episode,Station_Reward,Car_Reward,Station_Reward_Smooth,Car_Reward_Smooth
0,-0.4010086450518445,-0.38031498715458717,-0.4010086450518445,-0.38031498715458717
1,-0.37968370087870984,-0.37085427707759155,-0.3903461729652772,-0.3755846321160894
2,-0.36330475515475813,-0.35496074187860394,-0.3813323670284375,-0.36871000203692755
3,-0.35693539250717154,-0.3498003586297152,-0.375233123398121,-0.36398259118512444
4,-0.3574733355771289,-0.3454032867043023,-0.3716811658339226,-0.36026673028896006
5,-0.3450229038281928,-0.34544297835996624,-0.367238122166301,-0.3577961049674611
6,-0.3461332749826325,-0.33941130524276986,-0.3642231439972055,-0.3551697050067909
7,-0.34132916324166745,-0.32683728519099986,-0.3613613964027632,-0.351628152529817
8,-0.3334096187692317,-0.3311077504578556,-0.35825564333237087,-0.34934810785515463
9,-0.32869719604374587,-0.3362676407092161,-0.35529979860350835,-0.3480400611405608
10,-0.3191960698014543,-0.3274281788681816,-0.3520176414396852,-0.3461662536612536
11,-0.32071135036465437,-0.3204858996776796,-0.3494087838500994,-0.3440262241626224
12,-0.319077796776492,-0.31807643596541835,-0.3470756309982834,-0.34203008660899137
13,-0.31746590985297796,-0.3186598964650795,-0.3449606509164758,-0.3403607873129976
14,-0.31970218568014735,-0.31706448214858585,-0.343276753234054,-0.33880770030203683
15,-0.30709055115968276,-0.30919647003299705,-0.3410151156044057,-0.33695699841022186
16,-0.3043355164798924,-0.3091259701577952,-0.3388574921264932,-0.33531987910125555
17,-0.3060174600504061,-0.3073327766355912,-0.3370330459000439,-0.3337650400753853
18,-0.29960764070993956,-0.3013721077600865,-0.33506328773214367,-0.3320601489008959
19,-0.2943991971637449,-0.3015107955019633,-0.33303008320372374,-0.3305326812309493
20,-0.2940377562394827,-0.3014285663956965,-0.3311733057292361,-0.32914677100069917
21,-0.29041034094211493,-0.3032615952312186,-0.3293204436934578,-0.3279701721020864
22,-0.2864304387396559,-0.29889270600433765,-0.3274556608693795,-0.3267059344456626
23,-0.29095602089278094,-0.2898684165607999,-0.3259348425370212,-0.3251710378671266
24,-0.2899333636652173,-0.28617583278820935,-0.3244947833821491,-0.32361122966396993
25,-0.28500977041003855,-0.2889666829666971,-0.3229761290370679,-0.3222787470986902
26,-0.2730781513883592,-0.2895712975546749,-0.32112805579081943,-0.3210673600785415
27,-0.27956775176643084,-0.281833751355327,-0.31964375921851984,-0.3196661597669981
28,-0.2860130511283779,-0.2795067489754555,-0.31848407962920455,-0.3182813524983242
29,-0.27495609842341484,-0.28024180315977726,-0.3170331469223449,-0.3170133675203727
30,-0.2773468083840371,-0.28666773750536045,-0.31575294245336727,-0.3160344762295658
31,-0.2704307502865299,-0.27734737493641093,-0.3143366239481536,-0.31482550431415474
32,-0.2651932149279125,-0.28038060891431815,-0.312847429735419,-0.31378171960506873
33,-0.27504889207312133,-0.2738301028525778,-0.31173570803946904,-0.31260667205352494
34,-0.26547609789082144,-0.27898941169214364,-0.31041400489236487,-0.31164617890034263
35,-0.2652069904845286,-0.27122406208789535,-0.3091582544921472,-0.31052334232221906
36,-0.2627709195425028,-0.2623703452577707,-0.3079045427367514,-0.30922190996912585
37,-0.25453455680079007,-0.26734625230654113,-0.3065000694226471,-0.30811991897800517
38,-0.2466161681584909,-0.267490912123087,-0.3049645847748483,-0.30707814957146884
39,-0.2500255092894871,-0.2567007817770996,-0.30359110788771426,-0.3058187153766096
40,-0.24623769890889707,-0.2602387537073078,-0.30219224425408453,-0.3047070089944315
41,-0.24577896870219768,-0.2661764911314807,-0.3008490710266587,-0.3037896157119803
42,-0.24911164969386906,-0.25657692425109324,-0.2996458751817101,-0.30269164614312244
43,-0.2337336179049602,-0.25765986977270156,-0.2981478693345112,-0.3016681966801584
44,-0.24510421341760402,-0.259097889355133,-0.2969691214252466,-0.30072218985071336
45,-0.23668034545087155,-0.2638414687961858,-0.2956584958605863,-0.2999204350451801
46,-0.23575415270117017,-0.2542245241917914,-0.29438393536783275,-0.29894818162276765
47,-0.2406161997222947,-0.2567415601131814,-0.2932637742085507,-0.29806887700798457
48,-0.2360104835589099,-0.2510396430293373,-0.29209533970549684,-0.297109096722706
49,-0.23252776139922152,-0.2516195064978694,-0.2909039881393713,-0.2961993049182093
50,-0.23209326527185978,-0.23907835253498852,-0.28752568054377164,-0.2933745722258173
51,-0.22785772371568558,-0.250456866432949,-0.28448916100051114,-0.2909666240129245
52,-0.22719374249535798,-0.24184434613488529,-0.2817669407473231,-0.2887042960980501
53,-0.230621243332983,-0.24442852311303692,-0.27924065776383933,-0.28659685938771656
54,-0.22504735554202213,-0.23832994635657964,-0.2765921381631372,-0.2844553925807621
55,-0.22991371448497194,-0.24232020287497463,-0.27428995437627285,-0.2823929370710623
56,-0.22319860147685566,-0.23303434718959828,-0.2718312609061573,-0.2802653979099989
57,-0.23012562538043282,-0.23638616017433897,-0.2696071901489326,-0.2784563754096656
58,-0.22569364763899452,-0.23618063518498564,-0.26745287072632784,-0.27655783310420823
59,-0.2185486038410093,-0.23917104982631815,-0.2652498988822731,-0.2746159012865503
60,-0.21561426321694163,-0.23188846907937172,-0.2631782627505828,-0.27270510709077406
61,-0.2179698046235546,-0.23275650438371148,-0.26112343183576087,-0.2709505191848947
62,-0.21824024337850476,-0.2267268879800335,-0.25910668076780113,-0.269123528225187
63,-0.21037166044503702,-0.2359359890039611,-0.2569647957796423,-0.26746905007596466
64,-0.21811575918679912,-0.23681974211854734,-0.2549330672497753,-0.2658641552753639
65,-0.21043158517158558,-0.22693789173488454,-0.2529998879300134,-0.2642189837094016
66,-0.21241415194624635,-0.22781548875941474,-0.2511614606393405,-0.262592774081434
67,-0.20029852891136196,-0.22685714084348102,-0.24904708201655962,-0.2609832613655918
68,-0.20229222182194584,-0.230460315625416,-0.2471007736387997,-0.2595650255228984
69,-0.20383892420091093,-0.23240002717986652,-0.24528956817954303,-0.25818281015645644
70,-0.19810035401748,-0.22034950267692563,-0.24337082013510297,-0.25656122888208105
71,-0.19565369961013698,-0.22057980073576725,-0.24147568730846342,-0.254907592992172
72,-0.19830396709347214,-0.22563298482673289,-0.23971315787553973,-0.25344239856861994
73,-0.2026153876321811,-0.21261944958236803,-0.23794634521032776,-0.2518974192290513
74,-0.19651656639219525,-0.22844272276565075,-0.23607800926486727,-0.2507427570286001
75,-0.19282270375272964,-0.21649500215416953,-0.2342342679317211,-0.24929332341234958
76,-0.19409581793292568,-0.2155975101887337,-0.2326546212626125,-0.24781384766503073
77,-0.19067239479152231,-0.21601183961982257,-0.23087671412311425,-0.24649740943032067
78,-0.19054482461472216,-0.21854161294158522,-0.22896734959284118,-0.24527810670964326
79,-0.1922129876779806,-0.21094048820206499,-0.22731248737793247,-0.243892080410489
80,-0.1931105865994053,-0.21197582562803302,-0.22562776294223982,-0.24239824217294245
81,-0.19603911530218648,-0.21009320966417516,-0.22413993024255296,-0.2410531588674977
82,-0.1885937723026113,-0.2080760025289897,-0.22260794139004697,-0.23960706673979118
83,-0.1942815059117195,-0.20794705299712962,-0.22099259366681892,-0.2382894057426822
84,-0.1817180570076467,-0.21529614056527308,-0.21931743284915542,-0.23701554032014477
85,-0.18136338169510996,-0.21164077398801862,-0.21764056067336704,-0.23582387455814724
86,-0.18451194678236219,-0.21122254409027236,-0.21607538121816425,-0.2348009185347973
87,-0.18547117489740705,-0.2026119483995068,-0.21469411358009657,-0.23350623245665664
88,-0.18336508305774335,-0.20554508124285847,-0.21342909187808165,-0.23226731583905202
89,-0.17529864056565758,-0.19948801212766282,-0.21193455450360502,-0.23112306044606332
90,-0.16835690617142174,-0.1981182208195396,-0.21037693864885554,-0.22988064978830797
91,-0.17511896988886427,-0.19971280390113083,-0.20896373867258883,-0.22855137604370093
92,-0.17994123083667155,-0.2013703937185365,-0.20758033029544493,-0.22744724543304978
93,-0.16772345572665168,-0.20377077523173037,-0.20626012705187877,-0.22636946354223034
94,-0.1639494102817336,-0.19553909951652768,-0.2046370309891613,-0.22509828774545826
95,-0.16859902822102207,-0.19823517664144902,-0.20327540464456434,-0.22378616190236353
96,-0.16680943172351165,-0.19716921153674588,-0.20189651022501118,-0.2226450556492626
97,-0.16391448495100214,-0.19472458791393638,-0.2003624759295853,-0.22140471620527774
98,-0.17146817845947412,-0.19331117226447678,-0.19907162982759663,-0.2202501467899805
99,-0.16346856998920672,-0.20020551586091284,-0.1976904459993963,-0.2192218669772414
100,-0.15997510813022492,-0.18843284185144532,-0.19624808285656362,-0.21820895676357055
101,-0.16184095968781867,-0.18989234086594522,-0.19492774757600628,-0.2169976662522304
102,-0.15451493661421245,-0.1879904774732637,-0.1934741714583834,-0.215920588878998
103,-0.15830262150303726,-0.19745164812033336,-0.19202779902178446,-0.21498105137914394
104,-0.15293243197241718,-0.1951831069907747,-0.19058550055039233,-0.21411811459182786
105,-0.15111213483667083,-0.18755161135249232,-0.18900946895742632,-0.2130227427613782
106,-0.15610781956682948,-0.1884871512344769,-0.18766765331922577,-0.21213179884227576
107,-0.15834715029726215,-0.18471461681351614,-0.1862320838175624,-0.21109836797505932
108,-0.15461103982442975,-0.1877710917862917,-0.1848104316612711,-0.21013017710708543
109,-0.15466759725117454,-0.1768340457702293,-0.1835328115294744,-0.20888343702596365
110,-0.14795932545838553,-0.18144525284432322,-0.1821797127743033,-0.20787457270126267
111,-0.15010767579143772,-0.18671430698060876,-0.18082247019766093,-0.20695372875320062
112,-0.14684647856445524,-0.17486239973944065,-0.17939459490137996,-0.2059164389883888
113,-0.15828266754293,-0.1830743400591736,-0.17835281504333778,-0.20485920600949303
114,-0.14101601957878962,-0.18083902663899706,-0.17681082025117764,-0.203739591699902
115,-0.14173808052794684,-0.17722789772480294,-0.17543695015830482,-0.2027453918197004
116,-0.1379522740574126,-0.1856065956232798,-0.17394771260052816,-0.2019012139569777
117,-0.1604260012427363,-0.17839560174183117,-0.17315026204715564,-0.20093198317494468
118,-0.13828657919776777,-0.17752910975793645,-0.17187014919467208,-0.19987335905759512
119,-0.14793413407803047,-0.17809595276174725,-0.17075205339221447,-0.19878727756923267
120,-0.14707476718201318,-0.18396243286938352,-0.16973154165550514,-0.19805953617308186
121,-0.1401016208497331,-0.16965616690347202,-0.16862050008029705,-0.19704106349643596
122,-0.1435809199478128,-0.1764236268872181,-0.1675260391373839,-0.19605687633764565
123,-0.13739934483117616,-0.17435891136572607,-0.16622171828136378,-0.19529166557331284
124,-0.133659094051868,-0.17420095497841787,-0.16496456883455723,-0.19420683021756818
125,-0.13353858692933734,-0.1702787002251885,-0.1637788864980894,-0.19328250417898854
126,-0.14327979825020504,-0.166637822253454,-0.16276256610443496,-0.19230331042028292
127,-0.13604297255262957,-0.1743399524910227,-0.16166997765965715,-0.19146987267770693
128,-0.13413766989981707,-0.16680616697574097,-0.16054183456535903,-0.1904351637583901
129,-0.1293911855266804,-0.17215394189409983,-0.159285398522333,-0.18965943283223077
130,-0.13568574991550592,-0.16808183704750268,-0.15813690178865503,-0.18878155306062017
131,-0.12626144502873887,-0.16850150140033388,-0.15674134838318607,-0.18794971889534334
132,-0.13034162263280566,-0.15367224441095068,-0.15557630538978995,-0.18686164373298253
133,-0.1251477848796344,-0.1676632405352859,-0.15419363096914826,-0.1860559674837457
134,-0.12666496211414002,-0.16341810223260386,-0.15309256907127813,-0.18501840671709227
135,-0.128478224394973,-0.15918223100957213,-0.1520348659252754,-0.18396923585752337
136,-0.12322455887530212,-0.1673055719082578,-0.1508091181671342,-0.18309089641388307
137,-0.12231042210500513,-0.15636561734204263,-0.14954590311128613,-0.1821659697927338
138,-0.1238724439876658,-0.16364727877167995,-0.14835605032988458,-0.1813280137433102
139,-0.12029912287672828,-0.15541857122937958,-0.147256059976106,-0.18044662492534458
140,-0.11723612472216474,-0.14356365928170745,-0.14623364434712088,-0.1793555336945879
141,-0.12911093328562415,-0.15015318830500954,-0.14531348361505608,-0.17836434138266546
142,-0.11497130728237621,-0.1593434401431277,-0.14401408514397016,-0.17752380231115733
143,-0.12046657985143301,-0.1526639601563598,-0.1430689476264658,-0.17650166600964995
144,-0.11098649225867226,-0.15241441007880616,-0.14200968926600457,-0.17563917222089548
145,-0.11197224168774969,-0.15218142765423875,-0.1408771535353391,-0.17471809724115128
146,-0.11202171355877562,-0.15868275430772458,-0.1397813991720444,-0.17394836809657085
147,-0.1122241129393134,-0.1494341191405434,-0.13874759173181064,-0.17304255872110297
148,-0.1119045361887874,-0.15432011746900237,-0.13755631888639688,-0.1722627376251935
149,-0.11244267000748069,-0.14510672363294838,-0.13653580088676237,-0.1711607617806342
150,-0.10343837941762683,-0.14489811204959058,-0.1354050663125104,-0.17029006718459708
151,-0.11332312114031928,-0.14639388245090243,-0.13443470954156042,-0.16942009801629626
152,-0.1115736227950294,-0.15184039755625867,-0.13357588326517678,-0.16869709641795616
153,-0.10981405859648947,-0.14898345240106045,-0.1326061120070458,-0.1677277325035707
