Episode,Station_Reward,Car_Reward,Station_Reward_Smooth,Car_Reward_Smooth
0,-0.3684472316419618,-0.4122611784969048,-0.3684472316419618,-0.4122611784969048
1,-0.3411974846050697,-0.3901965731132286,-0.35482235812351576,-0.4012288758050667
2,-0.3331992649922585,-0.3836347554797742,-0.3476146604130967,-0.3953641690299692
3,-0.3279268687213436,-0.37729607124308917,-0.3426927124901584,-0.3908471445832492
4,-0.32996447115687305,-0.3727894497308672,-0.3401470642235013,-0.3872356056127728
5,-0.3197990812770158,-0.3703910455985219,-0.33675573373242046,-0.384428178943731
6,-0.3053008602555828,-0.3643293548398696,-0.33226218037858646,-0.381556918357465
7,-0.3040681854505304,-0.3603799288246331,-0.3287379310125794,-0.37890979466586105
8,-0.30093680097950914,-0.35842785851145714,-0.32564891656446054,-0.37663402398203844
9,-0.29443762971165555,-0.3527086339307031,-0.32252778787918,-0.3742414849769049
10,-0.29001491463432455,-0.3494535046435286,-0.3195720721296477,-0.3719880322193252
11,-0.28275506162906056,-0.344640938287861,-0.31650398792126544,-0.3697091077250365
12,-0.2813808045774561,-0.34515646690654267,-0.3138022045871263,-0.36782044304669087
13,-0.28026322521728314,-0.34294196174156405,-0.311406563203566,-0.36604340866775326
14,-0.2751648792936619,-0.33633918913979727,-0.3089904509429058,-0.36406312736588947
15,-0.2736129978584291,-0.33566121699372825,-0.30677936012512597,-0.3622880079676294
16,-0.2689538057631882,-0.33317456927134603,-0.30455432751560024,-0.360575452750201
17,-0.266052725455285,-0.3313149461883375,-0.30241534962336053,-0.3589498690523197
18,-0.2597094453489855,-0.3297313132261718,-0.300167670451025,-0.35741205032462764
19,-0.26356782849616855,-0.32845657678127493,-0.2983376783532822,-0.35596427664746005
20,-0.25023175634590195,-0.324655228255054,-0.29604692016245454,-0.354473369581155
21,-0.25124175597588533,-0.319456468496133,-0.29401032179033776,-0.35288169225910854
22,-0.2541157013074909,-0.31971723194110635,-0.29227577307369224,-0.35143975920180415
23,-0.24757204434505464,-0.3157252283282411,-0.290413117709999,-0.349951653748739
24,-0.24281268520513408,-0.3196810299916453,-0.2885091004098044,-0.34874082879845525
25,-0.24827924660509176,-0.31316123956083564,-0.28696179834039237,-0.3473723830585468
26,-0.24679433528596664,-0.3147491261759354,-0.28547411452356175,-0.34616411428511673
27,-0.2542569401780207,-0.31253752921917327,-0.2843592154397924,-0.34496316481847594
28,-0.23673473820845742,-0.31039728579013237,-0.2827169920869878,-0.3437712379554295
29,-0.2301314148414039,-0.30731836127386003,-0.280964139512135,-0.34255614206604396
30,-0.2309943893312904,-0.30692767593808384,-0.2793522120869465,-0.3414068367070775
31,-0.23554369513736134,-0.30349935688175744,-0.27798319593227194,-0.3402222279625362
32,-0.2319395360508359,-0.30409615693351266,-0.27658793351162236,-0.3391274985374143
33,-0.23110934724209634,-0.3009911786836339,-0.2752503280331069,-0.33800584207112666
34,-0.223370714572045,-0.30034981593931354,-0.27376805336279086,-0.3369299556102177
35,-0.22719607754100365,-0.2938226331955235,-0.27247438736774116,-0.3357325299875873
36,-0.21943562769142208,-0.29616023989488294,-0.27104090737648934,-0.33466300863373044
37,-0.22290535602350955,-0.2965213473199378,-0.26977418234088457,-0.3336592807044201
38,-0.21899054798919243,-0.2905216428639418,-0.26847203787032836,-0.3325531874264591
39,-0.214751801552918,-0.288935343343911,-0.2671290319623931,-0.3314627413243954
40,-0.21388962379253895,-0.28987208542197423,-0.26583050981190887,-0.3304483350828729
41,-0.21020116487792687,-0.28784128209635645,-0.264506001599195,-0.32943388144033686
42,-0.2107405873384592,-0.28736867784260534,-0.26325564312801514,-0.32845562089155234
43,-0.21148443885641766,-0.28512119757916815,-0.26207902484911516,-0.3274707476344527
44,-0.206154644728251,-0.2841529954560135,-0.2608362608464293,-0.3265081309193763
45,-0.19601715937571926,-0.2819468084227009,-0.25942714994489213,-0.32553940651727464
46,-0.20223695754325505,-0.2795951324555868,-0.258210337340602,-0.3245618687712813
47,-0.20247734749426524,-0.2787740706875828,-0.25704923338547,-0.32360795631120426
48,-0.2044817963214672,-0.2775501045132633,-0.2559764285474291,-0.3226680001520626
49,-0.19884693407767493,-0.27891802797503595,-0.254833838658034,-0.32179300070852207
50,-0.19879018824878797,-0.2732001444237789,-0.25144069779017053,-0.31901178002705954
51,-0.19799057765396186,-0.2773006772538752,-0.24857655965114836,-0.3167538621098725
52,-0.188378750026659,-0.27423233094391375,-0.24568014935183638,-0.31456581361915525
53,-0.19945001780762298,-0.27194810909869255,-0.24311061233356196,-0.3124588543762673
54,-0.1869600871541946,-0.2685871789195567,-0.24025052465350843,-0.3103748089600411
55,-0.19208273600629971,-0.2675732279600994,-0.23769619774809406,-0.30831845260727264
56,-0.18705368437289296,-0.26744362928744597,-0.23533125423044027,-0.30638073809622424
57,-0.18378956869958366,-0.26255127023307523,-0.23292568189542134,-0.30442416492439306
58,-0.19419139611530684,-0.2658630240949485,-0.23079077379813728,-0.3025728682360629
59,-0.18101946913339698,-0.26222702945563914,-0.22852241058657213,-0.3007632361465616
60,-0.17900698659544198,-0.26397783912635414,-0.22630225202579446,-0.2990537228362181
61,-0.18056834966806842,-0.2640252850802949,-0.22425851778657463,-0.2974414097720668
62,-0.1741312792191175,-0.262350302948107,-0.22211352727940784,-0.2957852864928981
63,-0.17523866672721264,-0.2577862405570519,-0.22001303610960643,-0.29408217206920784
64,-0.1784349450288802,-0.25451868563888796,-0.21807843742431082,-0.29244576199918965
65,-0.1736556588249828,-0.2576824196381908,-0.2160792906436419,-0.2908861860520789
66,-0.17187954959861027,-0.25333864501641323,-0.21413780552035036,-0.28928946756698026
67,-0.16063597849773179,-0.2517529254028265,-0.21202947058119928,-0.28769822715127
68,-0.16446197875734397,-0.2546623992294915,-0.21012452124936648,-0.2861968488713364
69,-0.16268804755982974,-0.25281732602573215,-0.20810692563063968,-0.2846840638562255
70,-0.17750798574085194,-0.251398679592474,-0.20665245021853867,-0.28321893288297395
71,-0.16477178024755595,-0.24897512587075377,-0.20492305070397207,-0.2818093060304664
72,-0.16254896398153257,-0.24988453866602658,-0.2030917159574529,-0.28041265216496475
73,-0.1655204755515572,-0.24786149822274162,-0.20145068458158297,-0.2790553775628548
74,-0.1660744660895263,-0.2474997427931817,-0.19991592019927082,-0.2776117518188855
75,-0.1564606820853146,-0.24661461504068058,-0.19807954890887525,-0.2762808193284824
76,-0.15520195934881922,-0.24678543128427471,-0.19624770139013228,-0.27492154543064923
77,-0.15114440041658345,-0.24281916840836254,-0.19418545059490355,-0.27352717821443295
78,-0.1569529054499506,-0.24090765081243148,-0.19258981393973343,-0.272137385514879
79,-0.1456765546214358,-0.24027064339947798,-0.1909007167353341,-0.2707964311573913
80,-0.15690198745437572,-0.23556297794454034,-0.18941886869779576,-0.2693691371975204
81,-0.15186692875725188,-0.2385138948481004,-0.1877453333701936,-0.26806942795684735
82,-0.15240063467025217,-0.23597314393704366,-0.18615455534258188,-0.26670696769691793
83,-0.15551257006812408,-0.2402787385638736,-0.18464261979910243,-0.2654927188945227
84,-0.15063896292376294,-0.23552298219885567,-0.1831879847661368,-0.2641961822197135
85,-0.14580344920801508,-0.23410863827802547,-0.18156013219947706,-0.2630019023213636
86,-0.14232954173785572,-0.2343135285050098,-0.18001801048040572,-0.26176496809356614
87,-0.13651995973170888,-0.23149684445281724,-0.17829030255456974,-0.2604644780362237
88,-0.1518822901133854,-0.235953871264668,-0.17694813739705356,-0.2593731226042382
89,-0.14411965794906684,-0.23012870235068292,-0.17553549452497655,-0.25819698978437366
