Episode,Station_Reward,Car_Reward,Station_Reward_Smooth,Car_Reward_Smooth
0,-0.37387203454479917,-0.40031791293652824,-0.37387203454479917,-0.40031791293652824
1,-0.34797096609027756,-0.38040969204421987,-0.36092150031753834,-0.39036380249037406
2,-0.33581939509863645,-0.3737653525366732,-0.35255413191123774,-0.3848309858391404
3,-0.33206902203247546,-0.3696498612207996,-0.34743285444154715,-0.3810357046845552
4,-0.32052785550168006,-0.3657499545999309,-0.34205185465357374,-0.37797855466763036
5,-0.3189249073453172,-0.35662888778032686,-0.33819736343553103,-0.37442027685307977
6,-0.31143389725302384,-0.35329178662664096,-0.3343740111237442,-0.3714019211064457
7,-0.30696448828523903,-0.3496605293804683,-0.3309478207689311,-0.3686842471406985
8,-0.2991610719886022,-0.34376711911199254,-0.32741595979333904,-0.3659156773597312
9,-0.2997657638752705,-0.3430842655410633,-0.3246509402015322,-0.3636325361778644
10,-0.29873150964630446,-0.34183184791656435,-0.3222946283328751,-0.3616506554268371
11,-0.2948058162086084,-0.33323841747248206,-0.3200038939891862,-0.3592829689306409
12,-0.2837629357812503,-0.33329821581618313,-0.3172161279731911,-0.3572841417679902
13,-0.28342780648552207,-0.3299419622760407,-0.31480267643835763,-0.3553311289471367
14,-0.2805434666247807,-0.3297067553072014,-0.3125187291174525,-0.35362283737114103
15,-0.2790080552896012,-0.32631340125461167,-0.3104243120032118,-0.35191599761385794
16,-0.27420645982195146,-0.32269983153468373,-0.3082938501101965,-0.35019739960920065
17,-0.2757009552832614,-0.3226893860744735,-0.3064831337309223,-0.34866917663504915
18,-0.27081986076936504,-0.3201770487821679,-0.3046061193645246,-0.3471695909585817
19,-0.2720414015813464,-0.3158445035072493,-0.30297788347536564,-0.34560333658601505
20,-0.26722852941245523,-0.31616654025074953,-0.3012755332818937,-0.3442015843795739
21,-0.25880773746314806,-0.31125310761360286,-0.2993451789264962,-0.342703926344757
22,-0.2590364369377287,-0.31131749662129804,-0.2975926249269846,-0.34133929896547616
23,-0.25493109466564984,-0.3048203364903977,-0.2958150611660956,-0.33981767552901454
24,-0.24964980230901532,-0.30528424207117105,-0.2939684508118124,-0.33843633819070085
25,-0.2520230099452656,-0.3061589638368971,-0.2923551646246375,-0.3371949007155545
26,-0.251901180728667,-0.30685798005924464,-0.29085686892478674,-0.33607131106161714
27,-0.24189557273224777,-0.3031577651517784,-0.28910825120362466,-0.33489582727912287
28,-0.24500577904443088,-0.2995205701733953,-0.2875874763015835,-0.33367599082720123
29,-0.24266898360332118,-0.2950572783344765,-0.2860901932116414,-0.3323887004107771
30,-0.24355078704917962,-0.2984875400692669,-0.2847179543031749,-0.33129511459330907
31,-0.2335744334646203,-0.29066053174161455,-0.28311971927697005,-0.33002528387919355
32,-0.2341312961756373,-0.29063168786259364,-0.2816352216072327,-0.32883153854535724
33,-0.23846922005670423,-0.28957917571635866,-0.2803656333263348,-0.3276770572856808
34,-0.24291774983677933,-0.2912513267756614,-0.2792956937980618,-0.32663632212825167
35,-0.22867005749239996,-0.28891594855036845,-0.2778894261229045,-0.32558853397331045
36,-0.2302795287080448,-0.285833871337328,-0.27660267213871914,-0.3245140836317974
37,-0.23573007517842903,-0.28255164478707917,-0.2755270774818694,-0.3234098089253575
38,-0.22540506934233656,-0.2773786207583124,-0.27424189778598396,-0.3222295220492794
39,-0.22307976464650697,-0.27772372120225264,-0.272962844457497,-0.3211168770281037
40,-0.2221105839290174,-0.27843566089194216,-0.271722545420217,-0.32007587175649
41,-0.21822045850791313,-0.27550295219601006,-0.2704486862080193,-0.3190146117669548
42,-0.21318749209696616,-0.27654487106265285,-0.26911703053101804,-0.31802694337848264
43,-0.21599925142649595,-0.2766941249776678,-0.2679098082786426,-0.31708756114210046
44,-0.20786229920833116,-0.2753118909349152,-0.2665754191881912,-0.31615921291527416
45,-0.21445007028094878,-0.2728179223064675,-0.2654422594293381,-0.31521701094551746
46,-0.20506856530654147,-0.27117309660893474,-0.26415771274587435,-0.3142799063851647
47,-0.2155741954664825,-0.26997114208382444,-0.263145556135887,-0.31335680712888675
48,-0.21038556761882835,-0.2689882766173435,-0.2620688216763552,-0.31245132691436545
49,-0.20615879413003255,-0.26457241197012255,-0.26095062112542877,-0.31149374861548057
50,-0.207164413684891,-0.26635591406302966,-0.25761646870823063,-0.30881450863801063
51,-0.20546154921623075,-0.2634330372811914,-0.2547662803707496,-0.30647497554275005
52,-0.2043323547833864,-0.26652918952056776,-0.25213653956444465,-0.30433025228242794
53,-0.2048187507684704,-0.26137334888384595,-0.24959153413916454,-0.30216472203568884
54,-0.19346923775961197,-0.2619395816543643,-0.24705036178432319,-0.30008851457677754
55,-0.1974433047825375,-0.2601594668422385,-0.24462072973306762,-0.29815912615801576
56,-0.19373439028904874,-0.25819184201319356,-0.24226673959378808,-0.2962571272657468
57,-0.19098910324531806,-0.25837358545034383,-0.23994723189298967,-0.29443138838714433
58,-0.18843198396526623,-0.2518694888692268,-0.23773265013252295,-0.292593435782289
