Episode,Station_Reward,Car_Reward,Station_Reward_Smooth,Car_Reward_Smooth
0,-0.3696230133069506,-0.4110095748124348,-0.3696230133069506,-0.4110095748124348
1,-0.3503976314652329,-0.39204749149007534,-0.36001032238609176,-0.40152853315125503
2,-0.33509899409930466,-0.38152388461619086,-0.351706546290496,-0.39486031697290036
3,-0.3325574331883224,-0.3769156398760769,-0.34691926801495265,-0.3903741476986945
4,-0.3235208719071297,-0.3649062696706412,-0.34223958879338806,-0.3852805720930838
5,-0.31893761735842147,-0.3626011525711235,-0.3383559268875603,-0.3815006688394238
6,-0.3225277321307474,-0.36456856958166756,-0.33609475620801554,-0.37908179751688714
7,-0.3157424087663302,-0.35874452638528104,-0.3335507127778049,-0.3765396386254364
8,-0.30942232214865456,-0.35526799711240165,-0.33086978048567706,-0.3741761229017659
9,-0.29667145990128374,-0.35103294504517785,-0.3274499484272378,-0.37186180511610706
10,-0.29554380962365423,-0.34990861732965306,-0.32454939035418473,-0.36986606077188394
11,-0.29072299598620466,-0.34341513353745967,-0.32173052415685305,-0.36766181683568194
12,-0.2958283874941924,-0.3451943003403507,-0.31973805210587913,-0.3659335463360411
13,-0.2888487893200843,-0.34253762994201414,-0.3175316761926081,-0.36426240945075344
14,-0.2839783580644367,-0.3395317907850267,-0.31529478831739666,-0.362613701539705
15,-0.2896037464045468,-0.33872573105137554,-0.3136890981978435,-0.3611207033841844
16,-0.27713951781595736,-0.3314080359352916,-0.311539122881262,-0.3593728994166025
17,-0.28272975128836625,-0.3331382653627375,-0.3099386022372122,-0.35791541974694335
18,-0.2713087995961023,-0.3276950038717588,-0.3079054547297854,-0.35632487154298625
19,-0.270569659650157,-0.3278406043184591,-0.30603866497580395,-0.35490065818175986
20,-0.2681001098943855,-0.32697164155740654,-0.30423206711478407,-0.35357070500917165
21,-0.25856070597964964,-0.32229069264331417,-0.3021560961540961,-0.352148886265269
22,-0.2618243263922192,-0.3180796151555763,-0.300402540947058,-0.3506676136083258
23,-0.2578937600954457,-0.3184496004522777,-0.2986313417449075,-0.3493251963934905
24,-0.2670371882999317,-0.31658871809768574,-0.29736757560710847,-0.34801573726165835
25,-0.25955763106924545,-0.31345661620690635,-0.29591334697103683,-0.34668654029801405
26,-0.2516206573923403,-0.3132875575969706,-0.2942728769866406,-0.3454495409387161
27,-0.24781739832579083,-0.3111700313084301,-0.2926137527487532,-0.3442252727376345
28,-0.2474515285639836,-0.3107923176331565,-0.29105643467341624,-0.3430724122167904
29,-0.24451178247447794,-0.3083727415665147,-0.28950494626678497,-0.3419157565284479
30,-0.23790743995906408,-0.3036810174869093,-0.28784051057943916,-0.3406823778496886
31,-0.2370101920478342,-0.3013194374666679,-0.2862520631253265,-0.33945228596271915
32,-0.24023301705460037,-0.3016363409843593,-0.2848575465777287,-0.3383063482361022
33,-0.24205447304432276,-0.30198098110489074,-0.28359863265027563,-0.3372379550851842
34,-0.2336932617924851,-0.2993428309111323,-0.28217276491148163,-0.33615523725163987
35,-0.23522539782906787,-0.297767773055597,-0.2808686713814146,-0.3350889188017498
36,-0.22761765341928558,-0.2943715060007398,-0.2794294546797354,-0.33398844818550627
37,-0.22510959048028134,-0.29527678834616666,-0.2779999845692234,-0.3329697202949974
38,-0.22988510433020287,-0.28949373335686224,-0.2767662696912998,-0.3318549513991477
39,-0.22797395155230565,-0.2903959762681657,-0.275546461737825,-0.3308184770208732
40,-0.22312287376771267,-0.28953832611778896,-0.27426783764099294,-0.32981164407201746
41,-0.21652710521919943,-0.2856890218415186,-0.27289305829761695,-0.32876110544748177
42,-0.2177048653310794,-0.2848398767950534,-0.2716096119495579,-0.3277396815253323
43,-0.2155394821316366,-0.28623989130687716,-0.27033529081733243,-0.3267965044749129
44,-0.21422069117366965,-0.28089813752800513,-0.26908829971413994,-0.3257765407649815
45,-0.2199179233743457,-0.2788518467796412,-0.2680193784893618,-0.32475643872182197
46,-0.20645289768797906,-0.27982437864046306,-0.26670945336592816,-0.32380043744349524
47,-0.21100625681387403,-0.28033248155250423,-0.26554897010442696,-0.3228948550290996
48,-0.20888671480968965,-0.2774783290965066,-0.26439259754739153,-0.3219679871529242
49,-0.20235672862329973,-0.27818862689955387,-0.2631518801689097,-0.3210923999478568
50,-0.20736216199287577,-0.2751365629890734,-0.2599066631426282,-0.3183749397113896
51,-0.20044463467244983,-0.2734738284692254,-0.25690760320677253,-0.31600346645097255
52,-0.20668171653645223,-0.27290974568988774,-0.2543392576555155,-0.3138311836724465
53,-0.20164731652714885,-0.27088850536426995,-0.25172105532229205,-0.31171064098221035
54,-0.19429693793540964,-0.2668691112332783,-0.2491365766428576,-0.30974989781346307
55,-0.1942099112328885,-0.2702682904952547,-0.24664202252034698,-0.30790324057194574
56,-0.1890645489148736,-0.2655194517696382,-0.24397275885602948,-0.3059222582157051
57,-0.19070384859816075,-0.264150099590445,-0.2414719876526661,-0.3040303696798084
58,-0.19322095616601753,-0.26634465582446654,-0.23914796033301336,-0.3022519028540497
59,-0.19189054534167815,-0.2645994456603007,-0.23705234204182127,-0.30052323286635213
60,-0.19350200532328388,-0.26264235415309317,-0.23501150595581385,-0.29877790760282097
61,-0.18698970469837914,-0.260533088303767,-0.2329368401300573,-0.2971202666981471
62,-0.18674529076880853,-0.2614219348194462,-0.23075517819554964,-0.29544481938772904
63,-0.19337037007091837,-0.2576761376530065,-0.22884560981056634,-0.2937475895419489
