训练轮数,充电站利润,电动汽车成本,拥堵成本,充电站策略熵,电动汽车策略熵,成本方差,充电站策略集中度
0,14.926376713560423,0.7974851439187488,0.0,1.6093427609964295,1.609124016872455,0.08000000000000006,0.2031763262741133
1,15.029261427493147,0.8017809580592418,0.0,1.609400382243504,1.6033840552142629,0.08000000000000006,0.2018327230243319
2,14.89315292126711,0.7991904089925653,0.0,1.5844901155039108,1.5930753087055571,0.08000000000000006,0.2334816801190919
3,14.68321315878439,0.786717969060332,0.0,1.6001259833098649,1.592556279785994,0.08000000000000006,0.21863785558210969
4,13.318116217580782,0.7550524477589571,0.0,1.5077418478339197,1.5524702390150191,0.08000000000000006,0.2958310165480487
5,14.749695999865969,0.7612347623804747,0.0040691740069473984,1.5631449433043392,1.4926039788542105,0.0802361673712709,0.24984268030309603
6,14.94243133960624,0.752761968603883,0.0,1.4224970407719204,1.5088846232219553,0.08000000000000006,0.30559492125668697
7,14.854663592740069,0.8282371809553359,0.13079250222496477,1.4252650973491685,1.4940979111007033,0.12058958742790458,0.2926581814915095
8,14.232058316820899,0.8358028908840797,0.13441622597981806,1.4497247697452673,1.501202210587193,0.11443145472102735,0.2987226811377049
9,14.951324605300336,0.8476175511209787,0.06888231336988224,1.5353118939106634,1.495950809749521,0.11896265367327312,0.28193839850070435
10,14.748879468406063,0.8347040276208744,0.0,1.5059285280895265,1.5693694916789198,0.08000000000000006,0.28635176430981757
11,15.422132931159247,0.8364095350164669,9.385461083134242e-05,1.5979151604645414,1.5596033508127265,0.08001558049376342,0.2187066837399522
12,14.696987797498887,0.7935512021833673,0.0,1.603392309599968,1.582930743251474,0.08000000000000006,0.22973945426681186
13,13.758195541386769,0.759415764146421,0.0,1.5857226945803327,1.5617514081123616,0.08000000000000006,0.25682244593759834
14,13.82317936841893,0.7480466306594872,0.0008555356002226305,1.5904077093839817,1.5614223618326124,0.07977149040934939,0.243153503888999
15,13.190516879961683,0.7566437842997247,0.08482049008907992,1.6031975127803952,1.515533950687267,0.07987797493807719,0.2292559777951843
16,14.172158411734326,1.0632011562312849,0.43960168098789465,1.5876589493394706,1.4997798512164777,0.8168915495192449,0.24903601199629322
17,18.34073771576022,0.9172925885736829,0.0548363686261886,1.5243213321866798,1.4225779750727252,0.10639255061251268,0.2658081802980706
18,16.742805992133352,0.7861734385575889,0.0,1.4366721381648602,1.5686483344541957,0.08000000000000006,0.2968431213333201
19,16.374923091117836,0.7718338230252777,0.0,1.408171234555858,1.5725366298211758,0.08000000000000006,0.316665725041966
20,16.634917535414353,0.7782975576684317,0.0,1.4177964794657898,1.5815782650735755,0.08000000000000006,0.30302704195223623
21,16.310244096609992,0.7710063018554381,0.0,1.4372814773096,1.5758431620525206,0.08000000000000006,0.29391425758999856
22,14.743505604772722,0.7332095026628835,0.0,1.4675402051378112,1.5420876987979693,0.08000000000000006,0.2990771662094967
23,15.00536923749437,0.7257895468678136,4.694480047570011e-05,1.43606420602444,1.5330122789773997,0.07998511867290041,0.3219048030841056
24,14.800344148181955,0.7272031032371956,0.001371216023193434,1.460245096636486,1.5312288194407568,0.0795903959750047,0.3065493431236787
25,14.813853266807687,0.7265702290549596,0.0,1.506887006184767,1.5323712423513567,0.08000000000000006,0.2832235558200751
26,14.515385039750777,0.714999156686448,7.3201080164912e-05,1.500144277202778,1.522879789483252,0.07997691859182807,0.28509664340223045
27,14.588462049337627,0.7237158921245649,0.0,1.5083762847438154,1.5264550095373968,0.08000000000000006,0.273170560145934
28,13.760688244392984,0.706992237413203,0.0006756913708035803,1.4907036112575216,1.5166806320027257,0.07979171661280654,0.290058243455499
29,13.816372650396877,0.709672725523997,9.894064990941948e-05,1.4622605977313208,1.5215750111648283,0.07996896550417013,0.3011604244753353
30,14.219848393333548,0.7112420867012773,0.0,1.471467743894583,1.5220220802389515,0.08000000000000006,0.29056171008128096
31,14.398644090828666,0.705028863348026,0.00016786873671471056,1.4623252709800627,1.5175802196257273,0.07994682252642925,0.3329635795111202
